start_t,server_id,count
50040,10,1
50040,11,8
50040,13,22
50040,14,28
50040,2,9
50040,7,208
50100,1,35
50100,10,21
50100,11,2
50100,12,1
50100,13,12
50100,14,7
50100,4,1
50100,5,1
50100,7,185
50160,1,83
50160,10,1
50160,11,2
50160,12,2
50160,13,2
50160,14,8
50160,2,3
50160,4,2
50160,5,2
50160,6,1
50160,7,244
50220,1,156
50220,10,5
50220,11,1
50220,12,2
50220,13,19
50220,14,7
50220,2,6
50220,5,6
50220,6,1
50220,7,325
50220,9,2
50280,1,211
50280,10,7
50280,12,1
50280,13,34
50280,14,40
50280,2,3
50280,4,20
50280,5,4
50280,6,2
50280,7,445
50280,9,1
50340,1,293
50340,10,11
50340,12,1
50340,13,34
50340,14,24
50340,2,2
50340,4,15
50340,5,1
50340,6,4
50340,7,536
50340,9,1
50400,1,235
50400,10,2
50400,12,32
50400,13,47
50400,14,36
50400,2,1
50400,4,16
50400,7,383
50400,9,12
50460,1,227
50460,10,4
50460,12,24
50460,13,56
50460,14,29
50460,2,6
50460,4,8
50460,5,2
50460,6,6
50460,7,383
50460,9,7
50520,1,112
50520,10,10
50520,12,45
50520,13,70
50520,14,9
50520,2,46
50520,4,4
50520,5,2
50520,6,1
50520,7,335
50520,9,3
50580,1,136
50580,11,2
50580,12,4
50580,13,6
50580,14,5
50580,2,4
50580,4,21
50580,6,2
50580,7,213
50580,9,1
50640,1,88
50640,10,7
50640,13,20
50640,14,1
50640,2,5
50640,4,12
50640,6,2
50640,7,177
50640,9,1
50700,1,92
50700,10,4
50700,13,10
50700,2,4
50700,4,10
50700,7,101
50760,1,7
50760,12,1
50760,13,2
50760,2,8
50760,4,5
50760,5,1
50760,7,37
50820,1,23
50820,13,4
50820,2,18
50820,4,4
50820,7,22
50880,1,19
50880,2,6
50880,4,17
50880,7,57
50940,1,2
50940,10,1
50940,11,1
50940,13,1
50940,2,6
50940,4,9
50940,7,24
51000,1,13
51000,10,2
51000,11,2
51000,13,1
51000,14,2
51000,2,4
51000,4,4
51000,7,21
51060,1,40
51060,11,2
51060,13,1
51060,7,1
51120,1,63
51120,13,1
51120,14,1
51120,2,11
51120,7,4
51180,1,61
51180,12,1
51180,13,1
51180,2,1
51180,5,1
51240,1,86
51240,11,1
51240,12,2
51240,2,7
51240,7,15
51300,1,56
51300,11,1
51300,13,2
51300,14,1
51300,2,15
51300,5,2
51300,7,1
51360,1,45
51360,14,2
51420,1,44
51420,11,7
51420,13,6
51420,14,16
51420,2,3
51420,5,4
51420,7,4
51480,1,42
51480,11,1
51480,13,97
51480,2,4
51480,5,5
51480,7,55
51540,1,14
51540,13,196
51540,2,1
51540,5,5
51540,7,51
51600,1,182
51600,10,7
51600,11,4
51600,12,2
51600,13,213
51600,2,1
51600,5,11
51600,6,1
51600,7,122
51600,9,8
51660,1,352
51660,10,7
51660,12,5
51660,13,173
51660,2,1
51660,5,2
51660,7,120
51660,9,20
51720,1,465
51720,10,5
51720,12,30
51720,13,155
51720,2,3
51720,5,15
51720,7,142
51720,9,3
51780,1,283
51780,10,3
51780,12,41
51780,13,202
51780,2,5
51780,5,6
51780,7,106
51780,9,12
51840,1,111
51840,10,9
51840,11,1
51840,12,56
51840,13,211
51840,2,2
51840,5,1
51840,6,2
51840,9,24
51900,1,245
51900,10,11
51900,11,1
51900,12,19
51900,13,172
51900,2,3
51900,5,5
51900,6,3
51900,7,12
51900,9,7
51960,1,148
51960,10,5
51960,11,3
51960,12,15
51960,13,93
51960,2,4
51960,5,13
51960,7,233
